code,description,approach
94111300,Overhead _Production Overhead_OustideSrv,oh
94111400,Overhead _Production Overhead_Depletion,oh
94112000,Overhead_Mine Support_Personnel,oh
94112100,Overhead_Mine Support_Overhead,oh
94112200,Overhead_Mine Support_Depre&Amor,oh
94112300,Overhead_Mine Support_Outside Srv,oh
94113000,Other Direct Costs,oh
94114000,External Services_Contract Fees,oh
94115000,External Services_Rental,oh
94116000,External Services_Others,oh
94117000,Overhead_OtherDirectCost_SE_Personnel,oh
94117100,Overhead_OtherDirectCost_SE_Others,oh
94117200,Overhead_OtherDirectCost_SE_Depre&Amor,oh
94117300,Overhead_OtherDirectCost_SE_OutsideSrv,oh
94210000,Assessment_TSD Electrical_Personnel,oh
94210100,Assessment_TSD Electrical_Outside Srv,oh
94210200,Assessment_TSD Electrical_FOL,oh
94210300,Assessment_TSD Electrical_Materials,oh
94210400,Assessment_TSD Electrical_Depre&Amor,oh
94210500,Assessment_TSD Electrical_Others,oh
94211000,Assessment_Assay_Personnel,oh
94211100,Assessment_Assay_Outside Srv,oh
94211200,Assessment_Assay_FOL,oh
94211300,Assessment_Assay_Materials,oh
94211400,Assessment_Assay_Depre&Amor,oh
94211500,Assessment_Assay_Others,oh
94212000,Assessment_TSD General_Personnel,oh
94212100,Assessment_TSD General_Outside Srv,oh
94212200,Assessment_TSD General_FOL,oh
94212300,Assessment_TSD General_Materials,oh
94212400,Assessment_TSD General_Depre&Amor,oh
94212500,Assessment_TSD General_Others,oh
94213000,Assessment_MineSup_Personnel,oh
94213100,Assessment_MineSup_Outside Srv,oh
94213200,Assessment_MineSup_FOL,oh
94213300,Assessment_MineSup_Materials,oh
94213400,Assessment_MineSup_Depre&Amor,oh
94213500,Assessment_MineSup_Others,oh
94214000,Assessment_Production Ovrhead_Personnel,oh
94214100,Assessment_Production Ovrhead_Overhead,oh
94214200,Assessment_Production Ovrhead_Depre&Amor,oh
94214300,Assessment_Production Ovrhead_OutsideSrv,oh
94214400,Assessment_Production Ovrhead_Depletion,oh
94215000,Assessment_Mine Support_Personnel,oh
94215100,Assessment_Mine Support_Overhead,oh
94215200,Assessment_Mine Support_Depre&Amor,oh
94215300,Assessment_Mine Support_OutsideSrv,oh
94216000,Assessment_Profitability Analysis 1,oh
94217000,Assessment_Profitability Analysis 2,oh
94218000,Assessment_Plant Maintenance_Personnel,oh
94218100,Assessment_Plant Maintenance_Spare Parts,oh
94218200,Assessment_Plant Maintenance_Tires,oh
94218300,Assessment_Plant Maintenance_Outside Srv,oh
94218400,Assessment_Plant Maintenance_Others,oh
94218500,Assessment_Plant Maintenance_Oil&Lubes,oh
94218600,Assessment_Plant Maintenance_ExternalLab,oh
94219000,Assessment_Plant Maint Bal_Personnel,oh
94219100,Assessment_Plant Maint Bal_Spare Parts,oh
94219200,Assessment_Plant Maint Bal_Tires,oh
94219300,Assessment_Plant Maint Bal_Outside Srv,oh
94219400,Assessment_Plant Maint Bal_Others,oh
94219500,Assessment_Plant Maint Bal_Oil&Lubes,oh
94219600,Assessment_Plant Maint Bal_ExternalLabor,oh
94220000,Assessment_Other Direct Costs,oh
94221000,Assessment_OtherDirectCost_SE_Personnel,oh
94221100,Assessment_OtherDirectCost_SE_Others,oh
94221200,Assessment_OtherDirectCost_SE_Depre&Amor,oh
94221300,Assessment_OtherDirectCost_SE_OutsideSrv,oh
94223000,Assessment_Quarry_Personnel,oh
94223100,Assessment_Quarry_Overhead,oh
94223200,Assessment_Quarry_Depre&Amor,oh
94223300,Assessment_Quarry_OutsideSrv,oh
94224000,Assessment_Materials Handling_Personnel,oh
94224100,Assessment_Materials Handling_Overhead,oh
94224200,Assessment_Materials Handling_Depre&Amor,oh
94224300,Assessment_Materials Handling_OutsideSrv,oh
94225000,Assessment_LST_Prod Ovrhead_Personnel,oh
94225100,Assessment_LST_Prod Ovrhead_Overhead,oh
94225200,Assessment_LST_Prod Ovrhead_Depre&Amor,oh
94225300,Assessment_LST_Prod Ovrhead_OutsideSrv,oh
94225400,Assessment_LST_Prod Ovrhead_Depletion,oh
94226000,Assessment_LST_Mine Support_Personnel,oh
94226100,Assessment_LST_Mine Support_Overhead,oh
94226200,Assessment_LST_Mine Support_Depre&Amor,oh
94226300,Assessment_LST_Mine Support_OutsideSrv,oh
94310000,Production_Equipment Hours,oh
94311000,Production_Conveyor Equipment Hours,oh
94312000,Production_LCP_Equipment Hours,oh
94320000,Production_Manhour -Regular,oh
94330000,Production_Manhour -Seasonal,oh
94331000,Production_Manhour -Fixed Term/Project,oh
94340000,Production_Fuel Consumption_Inhouse,oh
94341000,Production_Fuel Consumption_Conveyor,oh
94350000,Production_Fuel Consumption_Contract Min,oh
94360000,Production_Fuel Consumption_Rental,oh
94370000,Plant Maintenance_Manhour -Regular,oh
94380000,Plant Maintenance_Manhour -Seasonal,oh
94381000,Plant Maintenance_Manhour -Fixed Term,oh
94390000,Production_Production Volume,oh
99999996,TMC Tools - Liters Gasoline,oh
99999997,TMC Tools - Equipment Operating Hours,oh
99999998,TMC Tools - Liters Diesel,oh
99999999,TMC Tools - Man-hours,mh
