code,description,approach
14301002,Deferred Input VAT - Capital Goods,main
14302000,Short Term Investments PHP 3-12 months,main
14303000,Short Term Investments USD 3-12 months,main
14304000,Tax Credit Certificate,main
14304001,Other Prepayments and Current Assets,main
14310000,Allow for Impairment Losses - OCA,main
15000000,Land & Land Improvements,main
15001000,Mine and Mining Property,main
15001001,Asset Retirement Obligation,main
15001002,Development Costs,main
15002000,Buildings (ROU),main
15002001,Land and Land Improvements (ROU),main
15003000,Buildings Structure and Improvements,main
15003001,Transmission Lines and Substation,main
15003002,Leasehold Improvements,main
15004000,Machinery & Equipment,main
15004001,Engine Generator Sets,main
15004002,Transportation Equipment,main
15004003,Office Equipment,main
15004004,Furniture and Fixtures,main
15004005,Computer Hardware and Equipment,main
15005000,Low Value Assets,main
15006000,Assets under Construction,main
15006100,Fixed Assets in Transit,main
15010000,Accum Depreciation - Land Improvements,main
15011000,Accum Depletion - Mine and Mining Property,main
15011001,Accum Depletion - ARO,main
15011002,Accum Amortization - Development Costs,main
15012000,Accum Depreciation - Buildings (ROU),main
15012001,Accum Depreciation - Land Improvements (ROU),main
15013000,Accum Depreciation - Bldgs Structure and Improv,main
15013001,Accum Depreciation - Transmission Lines and Subs,main
15013002,Accum Depreciation - Leasehold Improvements,main
15014000,Accum Depreciation - Machinery & Equipment,main
15014001,Accum Depreciation - Engine Generator Sets,main
15014002,Accum Depreciation - Transportation Equipment,main
15014003,Accum Depreciation - Office Equipment,main
15014004,Accum Depreciation - Furniture and Fixtures,main
15014005,Accum Depreciation - Computer Hardware and Eqpmt,main
15015000,Accum Depreciation - Low Value Assets,main
15020000,Technical Clrng Acct Integrated Asset Acquisition,main
15020001,Clearing Account for Asset Acquisition,main
15110000,Allow for Impairment Losses - PPE,main
16000000,Investment in Subsidiaries,main
16001000,Investment in Associates,main
16010000,Allow for Impairment Losses - Inv in Associate,main
16100000,Investment - FVTPL (Equity) - Noncurrent,main
16101001,Investment - FVTPL (Debt) - Noncurrent,main
16110000,Investment - FVOCI (Debt) - Noncurrent,main
16120000,Investment - Amortized Cost (Debt) - Noncurrent,main
16200000,Deferred Income Tax Assets,main
17000000,Deferred Mine Exploration Costs,main
17000001,Deposits for Future Stock Subscription (Dr),main
17000002,Investment Properties,main
17000003,Advances to Suppliers and Contractors - Noncurrent,main
17000004,Pension Asset,main
17000005,Deferred Input VAT - Capital Goods - Noncurrent,main
17000006,Long-term Loan Receivables,main
17000007,Deposits to Suppliers - Noncurrent,main
17000008,Restricted Cash - SDMP,main
17000009,Restricted Cash - MRF/FMRDP,main
17000010,Restricted Cash - Others,main
17000011,Computer Software,main
17000012,Other Investments - Noncurrent,main
17000013,Input VAT Receivable,main
17000100,Deferred Input VAT - Capital Asset Adjustment,main
17000101,Long-term Loan Receivables Adjustments,main
17000102,Deposits to Suppliers Adjustments,main
17010000,Accumulated Amortization - Computer Software,main
17010100,Accumulated Depreciation - Investment Properties,main
17110000,Allow for Impairment Losses - DEC and Others,main
17110001,Allow for Impairment Losses - Input VAT,main
20000000,Trade Payables Domestic,main
20000001,Trade Payables Domestic - One Time Accounts,main
20000002,Trade Payables Foreign,main
20000003,Trade Payables Foreign - One Time Accounts,main
20050000,Trade Payables Adjustments,main
20050001,Document Split Clearing Account,main
20050002,Document Split Clearing Account CO,main
20050003,Goods Received/Invoice Received,main
20050004,GR/IR Sett.Transferred (Material Ledger),main
20050005,Goods Received/Invoice Received Adjustment,main
20050006,Goods Received/Invoice Received Consignt/Pipeline,main
20100000,Payables Affiliated Companies,main
20100001,Payables Affiliated Companies - Others,main
20150000,Payables Affiliated Companies Adjustments,main
20150001,Interdivision Clearing - Main,main
20200000,Accrued Interest,main
20200001,Accrued Others (w/ WT),main
20250000,Accrued Net Payroll,main
20250001,Accrued 13th Month Pay,main
20250002,Accrued Guarantee Fee,main
20250003,Accrued Others,main
20250004,GR/IR: Goods and Services not yet invoiced,main
20250100,Accrued Expenses Adjustments,main
20300000,Excise Tax Payable,main
20300001,Royalty Payable - Government,main
20400000,Withholding Tax on Compensation,main
20400001,Expanded Withholding Tax,main
20400002,Final Withholding Tax,main
20400003,Output VAT,main
20400004,Deferred Output VAT,main
20400005,FBT Payable,main
20400006,DST Payable,main
20400007,VAT Payable,main
20500000,Interest Payable PHP,main
20500001,Interest Payable USD,main
20500002,Down Payment Requests - Customers,main
20500003,Payables to Employees,main
20500004,Down Payment Noted Item - Customers,main
20500005,Output VAT Clearing on Down Payments,main
20500006,Royalty Payable - Others,main
20500007,Retention Fees Payable,main
20500008,Other Payables - NT,main
20550000,Dividends Payable,main
20550001,Contract Liability for Down Payments,main
20550002,Other Payables,main
20550003,Payroll - SSS Payable,main
20550004,Payroll - PHIC Payable,main
20550005,Payroll - HDMF Payable,main
20550006,Payroll - SSS Loan Payable,main
20550007,Payroll - HDMF Loan Payable,main
20550008,Deferred Income - Current,main
20550009,Customers with a Credit Balance,main
20550010,Freight Clearing Account (MM),main
20550011,Delivery Costs Provision (MM),main
20550012,Delivery Costs Clearing (MM),main
20550013,Customs Duty Clearing Account (MM),main
20550014,Customs Provision (MM),main
20550015,GR/IR: Goods and Services not yet delivered,main
20550100,Other Payables Adjustments,main
20600000,Short-term Debt,main
20600100,Short-Term Debt Adjustments,main
20700000,Income Tax Payable,main
20800000,Lease Liability (ROU) - Current,main
20900000,Long-term Debts - Current,main
21000000,Long-term Debts - Noncurrent,main
